"cities","time","tasmax","tasmin","pr"
"Tokyo",2014-07-01,303.24643,295.0264,96.4908
"Tokyo",2014-08-01,303.0008,295.288,236.42891
"Tokyo",2014-09-01,300.83688,292.1854,109.14462
"Tokyo",2014-10-01,294.95038,287.3504,153.1191
"Tokyo",2014-11-01,289.5371,282.1163,106.5403
"Tokyo",2014-12-01,285.3565,278.7316,127.59256
"Jakarta",2014-07-01,302.94608,297.3244,108.8541
"Jakarta",2014-08-01,302.61844,296.89236,21.047897
"Jakarta",2014-09-01,302.07697,296.8946,66.47594
"Jakarta",2014-10-01,302.5136,297.16867,130.81212
"Jakarta",2014-11-01,303.7377,297.68323,148.10272
"Jakarta",2014-12-01,302.31903,297.51654,449.19406
